"","Metabolite_ID","Metabolite","SuperPathway","SubPathway","HMDB","KEGG","PUBCHEM"
"485","100002129","pregnenolone sulfate","Lipid","Pregnenolone Steroids","HMDB0000774","C18044","105074"
"486","100002132","N1,N12-diacetylspermine","Amino Acid","Polyamine Metabolism","HMDB0002172","C03413","132680"
"487","100002154","ergothioneine","Xenobiotics","Food Component/Plant","HMDB0003045","C05570","5351619"
"488","100002167","12-HETE","Lipid","Eicosanoid","HMDB0006111","C14777","5283155"
"489","100002183","S-methylmethionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0038670","C05319","458"
"490","100002196","13-HODE + 9-HODE","Lipid","Fatty Acid, Monohydroxy","HMDB0004670,HMDB0004667","C14767,C14762","5.31283E+31"
"491","100002199","tridecenedioate (C13:1-DC)*","Lipid","Fatty Acid, Dicarboxylate",NA,NA,NA
"492","100002204","N-acetyl-3-methylhistidine*","Amino Acid","Histidine Metabolism","HMDB0240341",NA,"193270"
"493","100002227","4-cholesten-3-one","Lipid","Sterol","HMDB0000921","C00599","91477"
"494","100002259","cis-4-decenoylcarnitine (C10:1)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)","HMDB0013205",NA,"57357170"
"495","100002284","2S,3R-dihydroxybutyrate","Lipid","Fatty Acid, Dihydroxy","HMDB0002453",NA,"10964471"
"496","100002356","(16 or 17)-methylstearate (a19:0 or i19:0)","Lipid","Fatty Acid, Branched","HMDB0037397",NA,"3083779"
"497","100002367","2R,3R-dihydroxybutyrate","Lipid","Fatty Acid, Dihydroxy","HMDB0000498",NA,"13120901"
"498","100002376","dexpanthenol","Xenobiotics","Chemical","HMDB0004231","D03726","4678"
"499","100002397","alpha-ketoglutaramate*","Amino Acid","Glutamate Metabolism","HMDB0001552","C00940","48"
"500","100002417","2,3-dihydroxyisovalerate","Xenobiotics","Food Component/Plant","HMDB0012141","C04039","677"
"501","100002458","3-methylglutaconate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000522",NA,"1551553"
"502","100002462","5-(galactosylhydroxy)-lysine","Amino Acid","Lysine Metabolism",NA,NA,"66995551"
"503","100002466","cysteinylglycine disulfide*","Amino Acid","Glutathione Metabolism","HMDB0000709",NA,"22833544"
"504","100002488","isoursodeoxycholate","Lipid","Secondary Bile Acid Metabolism","HMDB0000686","C17662","127601"
"505","100002500","formiminoglutamate","Amino Acid","Histidine Metabolism","HMDB0000854","C00439","439233"
"506","100002514","hydantoin-5-propionate","Amino Acid","Histidine Metabolism","HMDB0001212","C05565","782"
"507","100002528","sulfate*","Xenobiotics","Chemical","HMDB01448","C00059","5152822"
"508","100002544","4-hydroxyglutamate","Amino Acid","Glutamate Metabolism","HMDB0001344","C03079","439902"
"509","100002613","pantoate","Cofactors and Vitamins","Pantothenate and CoA Metabolism","HMDB0240389","C00522","5289105"
"510","100002725","omeprazole","Xenobiotics","Drug - Gastrointestinal","HMDB0001913","C07324","4594"
"511","100002732","diphenhydramine","Xenobiotics","Drug - Respiratory","HMDB0001927","C06960","3100"
"512","100002735","ranitidine","Xenobiotics","Drug - Gastrointestinal","HMDB0001930","D00422","3001055"
"513","100002749","S-methylcysteine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0002108",NA,"2.44177E+16"
"514","100002761","androsterone glucuronide","Lipid","Androgenic Steroids","HMDB0002829","C11135","114833"
"515","100002769","argininate*","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0003148",NA,"160437"
"516","100002784","2-oxoarginine*","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0004225","C03771","558"
"517","100002796","cis-4-decenoate (10:1n6)*","Lipid","Medium Chain Fatty Acid","HMDB0004980",NA,"5282726"
"518","100002806","gabapentin","Xenobiotics","Drug - Neurological","HMDB0005015","D00332","3446"
"519","100002807","venlafaxine","Xenobiotics","Drug - Psychoactive","HMDB0005016","C07187","5656"
"520","100002808","pantoprazole","Xenobiotics","Drug - Gastrointestinal","HMDB0005017","C11806","4679"
"521","100002873","1-lignoceroyl-GPC (24:0)","Lipid","Lysophospholipid","HMDB0010405",NA,"24779481"
"522","100002875","1-(1-enyl-palmitoyl)-GPC (P-16:0)*","Lipid","Lysoplasmalogen","HMDB0010407",NA,"10917802"
"523","100002910","1-methyl-5-imidazoleacetate","Amino Acid","Histidine Metabolism","HMDB04988",NA,"6451814"
"524","100002911","glycoursodeoxycholate","Lipid","Secondary Bile Acid Metabolism","HMDB0000708",NA,"12310288"
"525","100002912","tauroursodeoxycholate","Lipid","Secondary Bile Acid Metabolism","HMDB0000874",NA,"9848818"
"526","100002927","S-methylcysteine sulfoxide","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0029432",NA,"82142"
"527","100002945","(14 or 15)-methylpalmitate (a17:0 or i17:0)","Lipid","Fatty Acid, Branched","HMDB0061859","C16995","8.18118E+11"
"528","100002951","eicosanedioate (C20-DC)","Lipid","Fatty Acid, Dicarboxylate",NA,NA,"75502"
"529","100002952","docosadioate (C22-DC)","Lipid","Fatty Acid, Dicarboxylate",NA,"C14240","7641"
"530","100002953","16-hydroxypalmitate","Lipid","Fatty Acid, Monohydroxy","HMDB0006294","C18218","10466"
"531","100002989","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","Lipid","Diacylglycerol","HMDB0007219",NA,"14275396"
"532","100002990","oleoyl-linoleoyl-glycerol (18:1/18:2) [2]","Lipid","Diacylglycerol","HMDB0007219",NA,"71433693"
"533","100003000","1-(1-enyl-palmitoyl)-GPE (P-16:0)*","Lipid","Lysoplasmalogen","HMDB0011152",NA,NA
"534","100003001","1-(1-enyl-stearoyl)-GPE (P-18:0)*","Lipid","Lysoplasmalogen","HMDB0240598",NA,NA
"535","100003009","doxycycline","Xenobiotics","Drug - Antibiotic","HMDB0014399","D00307","54671203"
"536","100003119","N-oleoyltaurine","Lipid","Endocannabinoid",NA,NA,"6437033"
"537","100003151","linoleoylcarnitine (C18:2)*","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)","HMDB0006469",NA,"6450015"
"538","100003179","leucylalanine","Peptide","Dipeptide","HMDB0028922",NA,"81721"
"539","100003258","2-O-methylascorbic acid","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","HMDB0240294",NA,"54726398"
"540","100003260","carboxyethyl-GABA","Amino Acid","Glutamate Metabolism","HMDB0002201",NA,"2572"
"541","100003271","beta-citrylglutamate","Amino Acid","Glutamate Metabolism",NA,"C20775","189741"
"542","100003397","trimethylamine N-oxide","Lipid","Phospholipid Metabolism","HMDB0000925","C01104","1145"
"543","100003415","N6-methyllysine","Amino Acid","Lysine Metabolism","HMDB0002038","C02728","164795"
"544","100003425","cis-urocanate","Amino Acid","Histidine Metabolism","HMDB0034174",NA,"1549103"
"545","100003432","dihydroferulate","Xenobiotics","Food Component/Plant","HMDB0062121",NA,"14340"
"546","100003434","imidazole propionate","Amino Acid","Histidine Metabolism","HMDB0002271",NA,"70630"
"547","100003444","citalopram/escitalopram","Xenobiotics","Drug - Psychoactive","HMDB0005028","D07913","146570"
"548","100003470","pregnanediol-3-glucuronide","Lipid","Progestin Steroids","HMDB0010318",NA,"123796"
"549","100003473","alliin","Xenobiotics","Food Component/Plant","HMDB0033592","C08265","87310"
"550","100003674","prolylglycine","Peptide","Dipeptide","HMDB0011178",NA,"6426709"
"551","100003686","N-palmitoylglycine","Lipid","Fatty Acid Metabolism (Acyl Glycine)","HMDB0013034",NA,"151008"
"552","100003695","mannonate*","Xenobiotics","Food Component/Plant",NA,NA,"3246006"
"553","100003892","lanthionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",NA,NA,"98504"
"554","100003901","2-stearoyl-GPE (18:0)*","Lipid","Lysophospholipid","HMDB0011129",NA,"9.06585E+15"
"555","100003926","(R)-3-hydroxybutyrylcarnitine","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)","HMDB0013127",NA,"53481617"
"556","100004046","N-acetylcarnosine","Amino Acid","Histidine Metabolism","HMDB0012881",NA,"9903482"
"557","100004054","margaroylcarnitine (C17)*","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)","HMDB0006210",NA,"53477803"
"558","100004059","histidine betaine (hercynine)*","Xenobiotics","Food Component/Plant","HMDB0029422",NA,"3083620"
"559","100004083","glycohyocholate","Lipid","Secondary Bile Acid Metabolism","HMDB0000138",NA,"71361462"
"560","100004084","taurohyocholate*","Lipid","Secondary Bile Acid Metabolism","HMDB0011637","C15516","11954195"
"561","100004088","retinal","Cofactors and Vitamins","Vitamin A Metabolism","HMDB0001358","C00376","638015"
"562","100004089","2-hydroxydecanoate","Lipid","Fatty Acid, Monohydroxy","HMDB0094656",NA,"21488"
"563","100004111","4-methylcatechol sulfate","Xenobiotics","Benzoate Metabolism","HMDB0240459",NA,"54104170"
"564","100004112","3-methyl catechol sulfate (1)","Xenobiotics","Benzoate Metabolism",NA,NA,"118431379"
"565","100004173","O-desmethylvenlafaxine","Xenobiotics","Drug - Psychoactive","HMDB0015646","D07793","125017"
"566","100004208","guaiacol sulfate","Xenobiotics","Benzoate Metabolism","HMDB0060013",NA,"22473"
"567","100004227","2-aminooctanoate","Lipid","Fatty Acid, Amino","HMDB0000991",NA,"69522"
"568","100004243","gamma-CEHC glucuronide*","Cofactors and Vitamins","Tocopherol Metabolism",NA,NA,"121596235"
"569","100004284","dimethyl sulfone","Xenobiotics","Chemical","HMDB0004983","C11142","6213"
"570","100004295","2-piperidinone","Xenobiotics","Food Component/Plant","HMDB0011749",NA,"12665"
"571","100004299","N-acetyl-1-methylhistidine*","Amino Acid","Histidine Metabolism","HMDB0240340",NA,"53859791"
"572","100004318","indolin-2-one","Xenobiotics","Food Component/Plant",NA,"C12312","321710"
"573","100004321","2,8-quinolinediol sulfate","Xenobiotics","Food Component/Plant","HMDB0240658",NA,NA
"574","100004322","2-aminophenol sulfate","Xenobiotics","Food Component/Plant","HMDB0061116",NA,"181670"
"575","100004328","sphingomyelin (d18:1/14:0, d16:1/16:0)*","Lipid","Sphingomyelins","HMDB0012097",NA,"11433862"
"576","100004329","sphingomyelin (d18:2/16:0, d18:1/16:1)*","Lipid","Sphingomyelins","HMDB0240638,HMDB0240613",NA,NA
"577","100004396","3-hydroxyadipate","Lipid","Fatty Acid, Dicarboxylate","HMDB0000345",NA,"151913"
"578","100004499","6-oxopiperidine-2-carboxylate","Amino Acid","Lysine Metabolism","HMDB0061705",NA,"3014237"
"579","100004509","S-allylcysteine","Xenobiotics","Food Component/Plant","HMDB0034323",NA,"98280"
"580","100004523","N-delta-acetylornithine","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0003357","C00437","9920500"
"581","100004541","acisoga","Amino Acid","Polyamine Metabolism","HMDB0061384",NA,"129397"
"582","100004542","2-aminoheptanoate","Lipid","Fatty Acid, Amino","HMDB0094649",NA,"227939"
"583","100004561","N-formylanthranilic acid","Amino Acid","Tryptophan Metabolism","HMDB0004089","C05653","101399"
"584","100004635","methionine sulfone","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0062174",NA,"69961"
"585","100005350","1-linolenoyl-GPC (18:3)*","Lipid","Lysophospholipid","HMDB0010388","C04100",NA
"586","100005367","N-acetylalliin","Xenobiotics","Food Component/Plant",NA,NA,NA
"587","100005372","1-(1-enyl-oleoyl)-GPE (P-18:1)*","Lipid","Lysoplasmalogen",NA,NA,NA
"588","100005373","fructosyllysine","Amino Acid","Lysine Metabolism","HMDB0034879",NA,"9839580"
"589","100005383","N-methylpipecolate","Xenobiotics","Bacterial/Fungal",NA,NA,"11286529"
"590","100005384","O-sulfo-tyrosine","Xenobiotics","Chemical","HMDB0155722",NA,"514186"
"591","100005403","etiocholanolone glucuronide","Lipid","Androgenic Steroids","HMDB0004484",NA,"270605"
"592","100005418","17alpha-hydroxypregnanolone glucuronide","Lipid","Pregnenolone Steroids",NA,NA,NA
"593","100005466","N-acetyltaurine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0240253",NA,"159864"
"594","100005717","1-palmitoyl-GPG (16:0)*","Lipid","Lysophospholipid","HMDB0240601",NA,"3300276"
"595","100005850","3-methylglutarylcarnitine (2)","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000552",NA,"128145"
"596","100005864","methyl glucopyranoside (alpha + beta)","Xenobiotics","Food Component/Plant","HMDB0029965",NA,"4.45238E+16"
"597","100005946","2-keto-3-deoxy-gluconate","Xenobiotics","Food Component/Plant","HMDB0001353","C00204","161227"
"598","100005985","sphingomyelin (d18:2/14:0, d18:1/14:1)*","Lipid","Sphingomyelins","HMDB0240637,HMDB0240612",NA,NA
"599","100005986","sphingomyelin (d18:1/24:1, d18:2/24:0)*","Lipid","Sphingomyelins","HMDB0012107",NA,"44260126"
"600","100005996","octadecenedioylcarnitine (C18:1-DC)*","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)",NA,NA,NA
"601","100005998","octadecanedioylcarnitine (C18-DC)*","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)",NA,NA,NA
"602","100006005","5alpha-androstan-3alpha,17beta-diol monosulfate (2)","Lipid","Androgenic Steroids",NA,NA,"121596225"
"603","100006051","myristoleoylcarnitine (C14:1)*","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)","HMDB0240588",NA,"129691961"
"604","100006056","N-formylphenylalanine","Amino Acid","Tyrosine Metabolism","HMDB0240317",NA,"7.59257E+12"
"605","100006082","4-hydroxychlorothalonil","Xenobiotics","Chemical","HMDB0240624",NA,"34217"
"606","100006092","tyramine O-sulfate","Amino Acid","Tyrosine Metabolism","HMDB0006409",NA,"153005"
"607","100006098","3-hydroxypyridine sulfate","Xenobiotics","Chemical",NA,NA,NA
"608","100006108","phenylacetylcarnitine","Peptide","Acetylated Peptides",NA,NA,"101724840"
"609","100006115","arabonate/xylonate","Carbohydrate","Pentose Metabolism","HMDB0000539","C00502,C05411","1.22046E+12"
"610","100006116","methyl-4-hydroxybenzoate sulfate","Xenobiotics","Benzoate Metabolism","HMDB0041646",NA,"10657183"
"611","100006121","1-dihomo-linolenylglycerol (20:3)","Lipid","Monoacylglycerol","HMDB0011577",NA,NA
"612","100006125","vanillic alcohol sulfate","Amino Acid","Tyrosine Metabolism","HMDB0041788",NA,NA
"613","100006126","4-vinylguaiacol sulfate","Xenobiotics","Food Component/Plant","HMDB0127980",NA,"53803570"
"614","100006129","vanillactate","Amino Acid","Tyrosine Metabolism","HMDB0000913",NA,"160637"
"615","100006190","2-acetamidophenol sulfate","Xenobiotics","Food Component/Plant",NA,NA,"181671"
"616","100006191","p-cresol glucuronide*","Amino Acid","Tyrosine Metabolism","HMDB0011686",NA,"154035"
"617","100006203","acesulfame","Xenobiotics","Food Component/Plant","HMDB0033585",NA,"36573"
"618","100006205","propyl 4-hydroxybenzoate","Xenobiotics","Benzoate Metabolism","HMDB0032574","D01422","7175"
"619","100006260","6-hydroxyindole sulfate","Xenobiotics","Chemical","HMDB0000682",NA,"122198196"
"620","100006264","propyl 4-hydroxybenzoate sulfate","Xenobiotics","Benzoate Metabolism","HMDB0135261",NA,"131838881"
"621","100006290","sphingomyelin (d18:1/20:0, d16:1/22:0)*","Lipid","Sphingomyelins","HMDB0012102",NA,"44260124"
"622","100006292","sphingomyelin (d18:1/20:1, d18:2/20:0)*","Lipid","Sphingomyelins","HMDB0240610,HMDB0240632",NA,NA
"623","100006293","sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*","Lipid","Sphingomyelins",NA,NA,NA
"624","100006294","behenoyl sphingomyelin (d18:1/22:0)*","Lipid","Sphingomyelins","HMDB0012103",NA,"44260125"
"625","100006295","sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*","Lipid","Sphingomyelins","HMDB0012104",NA,NA
"626","100006296","sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*","Lipid","Sphingomyelins","HMDB0240670,HMDB0240672,HMDB0240669",NA,NA
"627","100006298","lignoceroyl sphingomyelin (d18:1/24:0)","Lipid","Sphingomyelins","HMDB0011697",NA,NA
"628","100006314","sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*","Lipid","Sphingomyelins","HMDB0240617,HMDB0240608",NA,NA
"629","100006360","dopamine 4-sulfate","Amino Acid","Tyrosine Metabolism","HMDB0004148","C13691","68517194"
"630","100006361","dopamine 3-O-sulfate","Amino Acid","Tyrosine Metabolism","HMDB0006275","C13690","122136"
"631","100006367","3-hydroxyhexanoate","Lipid","Fatty Acid, Monohydroxy","HMDB0061652,HMDB0010718",NA,"151492"
"632","100006369","N-carbamoylalanine","Amino Acid","Alanine and Aspartate Metabolism",NA,NA,"426409"
"633","100006370","3beta-hydroxy-5-cholestenoate","Lipid","Sterol","HMDB0012453","C17333","165511"
"634","100006374","1,2,3-benzenetriol sulfate (2)","Xenobiotics","Chemical","HMDB0060018,HMDB0060016",NA,"9.20137E+15"
"635","100006375","3-methoxycatechol sulfate (1)","Xenobiotics","Benzoate Metabolism",NA,NA,"129892430"
"636","100006378","N-acetylkynurenine (2)","Amino Acid","Tryptophan Metabolism","HMDB0240342",NA,"73817779"
"637","100006379","C-glycosyltryptophan","Amino Acid","Tryptophan Metabolism","HMDB0240296",NA,"10981970"
"638","100006381","tramadol","Xenobiotics","Drug - Analgesics, Anesthetics","HMDB0014339","C07153","33741"
"639","100006384","N-desmethyl tramadol","Xenobiotics","Drug - Analgesics, Anesthetics","HMDB0061007",NA,"12149038"
"640","100006430","arabitol/xylitol","Carbohydrate","Pentose Metabolism","HMDB0001851,HMDB0000568,HMDB0002917","C00379,C00542,C01904","941546912"
"641","100006435","N-acetylglucosamine/N-acetylgalactosamine","Carbohydrate","Aminosugar Metabolism","HMDB0000212,HMDB0000215","C01074","43917484265"
"642","100006438","citraconate/glutaconate","Energy","TCA Cycle","HMDB0000634,HMDB0000620","C02226,C02214","5.2805E+12"
"643","100006614","adipoylcarnitine (C6-DC)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)","HMDB0061677",NA,"71296139"
"644","100006619","4-hydroxyphenylacetoylcarnitine","Amino Acid","Tyrosine Metabolism",NA,NA,NA
"645","100006620","nonanoylcarnitine (C9)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","HMDB0013288",NA,"91825642"
"646","100006627","suberoylcarnitine (C8-DC)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)",NA,NA,NA
"647","100006641","glycochenodeoxycholate 3-sulfate","Lipid","Primary Bile Acid Metabolism","HMDB0002409,HMDB0002496,HMDB0002497",NA,"2.11169E+23"
"648","100006642","glycodeoxycholate 3-sulfate","Lipid","Secondary Bile Acid Metabolism",NA,NA,"101602538"
"649","100006644","taurodeoxycholic acid 3-sulfate","Lipid","Secondary Bile Acid Metabolism",NA,NA,NA
"650","100006651","trans-3,4-methyleneheptanoate","Xenobiotics","Food Component/Plant",NA,NA,NA
"651","100006726","linoleoyl ethanolamide","Lipid","Endocannabinoid","HMDB0012252",NA,"5283446"
"652","100008903","1,2-dilinoleoyl-GPC (18:2/18:2)","Lipid","Phosphatidylcholine (PC)","HMDB0008138",NA,"5288075"
"653","100008904","1-stearoyl-2-oleoyl-GPC (18:0/18:1)","Lipid","Phosphatidylcholine (PC)","HMDB0008038",NA,"24778825"
"654","100008914","1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)","Lipid","Phosphatidylcholine (PC)","HMDB0007982","C05208","10747814"
"655","100008915","1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)","Lipid","Phosphatidylcholine (PC)","HMDB0007991",NA,"6441886"
"656","100008916","1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)","Lipid","Phosphatidylcholine (PC)","HMDB0008057",NA,"24778876"
"657","100008919","1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)","Lipid","Plasmalogen","HMDB0011375",NA,"42607457"
"658","100008920","sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)","Lipid","Sphingomyelins","HMDB0240620,HMDB0240609,HMDB0240622",NA,"46891763"
"659","100008921","1-palmitoyl-2-stearoyl-GPC (16:0/18:0)","Lipid","Phosphatidylcholine (PC)","HMDB0007970","C03889","24778686"
"660","100008928","2-hydroxybutyrate/2-hydroxyisobutyrate","Amino Acid","Glutathione Metabolism","HMDB0000729,HMDB00008","C21297,C05984","4.40864E+12"
"661","100008929","2-methylcitrate/homocitrate","Energy","TCA Cycle","HMDB0003518,HMDB0000379","C01251","439459515"
"662","100008930","oleate/vaccenate (18:1)","Lipid","Long Chain Monounsaturated Fatty Acid","HMDB0003231,HMDB0000573,HMDB0240219,HMDB0000207","C21944,C08367,C01712,C00712","5.28276E+25"
"663","100008933","3-hydroxystearate","Lipid","Fatty Acid, Monohydroxy","HMDB10737",NA,"5282907"
"664","100008934","2-hydroxylaurate","Lipid","Fatty Acid, Monohydroxy",NA,NA,"97783"
"665","100008943","pregabalin","Xenobiotics","Drug - Neurological","HMDB0014375",NA,"5486971"
"666","100008952","1-palmitoleoylglycerol (16:1)*","Lipid","Monoacylglycerol","HMDB0011565",NA,NA
"667","100008953","2-palmitoleoylglycerol (16:1)*","Lipid","Monoacylglycerol","HMDB0011534",NA,"53480960"
"668","100008954","palmitoyl dihydrosphingomyelin (d18:0/16:0)*","Lipid","Dihydrosphingomyelins","HMDB0010168",NA,"9939965"
"669","100008955","tricosanoyl sphingomyelin (d18:1/23:0)*","Lipid","Sphingomyelins","HMDB0012105",NA,NA
"670","100008956","sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","Lipid","Sphingomyelins","HMDB0240634,HMDB0011696,HMDB0240614",NA,"134757653"
"671","100008957","sphingomyelin (d18:2/24:1, d18:1/24:2)*","Lipid","Sphingomyelins","HMDB0240636,HMDB0240615",NA,"85336023"
"672","100008976","1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*","Lipid","Phosphatidylethanolamine (PE)","HMDB0008994",NA,"9546749"
"673","100008977","1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)","Lipid","Phosphatidylethanolamine (PE)","HMDB0009003","C05210","5289133"
"674","100008980","1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*","Lipid","Phosphatidylcholine (PC)","HMDB0008039",NA,"6441487"
"675","100008984","1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*","Lipid","Phosphatidylcholine (PC)","HMDB0007969",NA,"6443788"
"676","100008985","1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*","Lipid","Phosphatidylcholine (PC)",NA,NA,NA
"677","100008990","1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*","Lipid","Phosphatidylethanolamine (PE)","HMDB0005323","C05210","9546800"
"678","100008991","1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*","Lipid","Phosphatidylethanolamine (PE)","HMDB0008946",NA,"9546799"
"679","100008992","1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*","Lipid","Phosphatidylethanolamine (PE)","HMDB0009012",NA,"9546798"
"680","100008993","1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*","Lipid","Phosphatidylinositol (PI)","HMDB0009789",NA,NA
"681","100008994","1-stearoyl-2-linoleoyl-GPI (18:0/18:2)","Lipid","Phosphatidylinositol (PI)","HMDB0009809",NA,NA
"682","100008998","gamma-tocopherol/beta-tocopherol","Cofactors and Vitamins","Tocopherol Metabolism","HMDB0006335,HMDB0001492","C14152,C02483",NA
"683","100008999","1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*","Lipid","Plasmalogen","HMDB0005779",NA,"9547058"
"684","100009002","1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*","Lipid","Plasmalogen","HMDB0011352",NA,"52925126"
"685","100009005","1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*","Lipid","Plasmalogen","HMDB0011342",NA,"52925128"
"686","100009007","1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*","Lipid","Plasmalogen","HMDB0007996",NA,"34779384"
"687","100009009","1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*","Lipid","Plasmalogen","HMDB0011211",NA,"24779386"
"688","100009014","1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*","Lipid","Plasmalogen","HMDB0011220",NA,NA
"689","100009025","sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*","Lipid","Sphingomyelins","HMDB0240619,HMDB0240611,HMDB0240621",NA,NA
"690","100009026","behenoyl dihydrosphingomyelin (d18:0/22:0)*","Lipid","Dihydrosphingomyelins","HMDB0012091",NA,"44260132"
"691","100009027","sphingomyelin (d18:0/18:0, d19:0/17:0)*","Lipid","Dihydrosphingomyelins","HMDB0012087",NA,"44260130"
"692","100009028","N-palmitoyl-sphinganine (d18:0/16:0)","Lipid","Dihydroceramides","HMDB11760",NA,"5283572"
"693","100009030","lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)","Lipid","Lactosylceramides (LCER)","HMDB0006750",NA,"53477895"
"694","100009034","cetirizine","Xenobiotics","Drug - Respiratory","HMDB0005032","C07778","2678"
"695","100009038","myristoyl dihydrosphingomyelin (d18:0/14:0)*","Lipid","Dihydrosphingomyelins","HMDB0012085",NA,"44260138"
"696","100009045","phenylacetylglutamate","Peptide","Acetylated Peptides","HMDB0059772",NA,"11579826"
"697","100009052","palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*","Lipid","Diacylglycerol","HMDB0007103",NA,"9543695"
"698","100009055","palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*","Lipid","Diacylglycerol","HMDB0007103",NA,"131801744"
"699","100009066","1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*","Lipid","Phosphatidylinositol (PI)","HMDB0009783",NA,"71296232"
"700","100009069","1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","Lipid","Plasmalogen","HMDB0011343",NA,"52925127"
"701","100009078","1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*","Lipid","Phosphatidylethanolamine (PE)","HMDB0005349",NA,"9546753"
"702","100009082","1-linoleoyl-GPA (18:2)*","Lipid","Lysophospholipid","HMDB0007856",NA,NA
"703","100009130","1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*","Lipid","Phosphatidylcholine (PC)","HMDB0008123",NA,"24778955"
"704","100009131","1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*","Lipid","Phosphatidylcholine (PC)","HMDB0008147","C05208","24778979"
"705","100009139","1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*","Lipid","Phosphatidylcholine (PC)","HMDB0007883",NA,"24778634"
"706","100009160","1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*","Lipid","Plasmalogen","HMDB0011207",NA,"52923882"
"707","100009162","1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*","Lipid","Plasmalogen","HMDB0011206",NA,"11146967"
"708","100009181","1-stearoyl-2-oleoyl-GPI (18:0/18:1)*","Lipid","Phosphatidylinositol (PI)","HMDB0240667",NA,NA
"709","100009204","1,2-dipalmitoyl-GPE (16:0/16:0)*","Lipid","Phosphatidylethanolamine (PE)","HMDB0008923",NA,"445468"
"710","100009217","1,2-dilinoleoyl-GPE (18:2/18:2)*","Lipid","Phosphatidylethanolamine (PE)","HMDB0009093",NA,"9546812"
